"HUGO symbols"	"Cell population"	"ENTREZID"	"ENSEMBL ID"
"CXCR2"	"Neutrophils"	3579	"ENSG00000180871"
"CYP4F3"	"Neutrophils"	4051	"ENSG00000186529"
"FCGR3B"	"Neutrophils"	2215	"ENSG00000162747"
"HAL"	"Neutrophils"	3034	"ENSG00000084110"
"KCNJ15"	"Neutrophils"	3772	"ENSG00000157551"
"MEGF9"	"Neutrophils"	1955	"ENSG00000106780"
"SLC25A37"	"Neutrophils"	51312	"ENSG00000147454"
"STEAP4"	"Neutrophils"	79689	"ENSG00000127954"
"TECPR2"	"Neutrophils"	9895	"ENSG00000196663"
"TLE3"	"Neutrophils"	7090	"ENSG00000140332"
"TNFRSF10C"	"Neutrophils"	8794	"ENSG00000173535"
"VNN3"	"Neutrophils"	55350	"ENSG00000093134"
"ACVRL1"	"Endothelial cells"	94	"ENSG00000139567"
"APLN"	"Endothelial cells"	8862	"ENSG00000171388"
"BCL6B"	"Endothelial cells"	255877	"ENSG00000161940"
"BMP6"	"Endothelial cells"	654	"ENSG00000153162"
"BMX"	"Endothelial cells"	660	"ENSG00000102010"
"CDH5"	"Endothelial cells"	1003	"ENSG00000179776"
"CLEC14A"	"Endothelial cells"	161198	"ENSG00000176435"
"DIPK2B"	"Endothelial cells"	79742	"ENSG00000147113"
"EDN1"	"Endothelial cells"	1906	"ENSG00000078401"
"ADGRL4"	"Endothelial cells"	64123	"ENSG00000162618"
"EMCN"	"Endothelial cells"	51705	"ENSG00000164035"
"ESAM"	"Endothelial cells"	90952	"ENSG00000149564"
"ESM1"	"Endothelial cells"	11082	"ENSG00000164283"
"FAM124B"	"Endothelial cells"	79843	"ENSG00000124019"
"HECW2"	"Endothelial cells"	57520	"ENSG00000138411"
"HHIP"	"Endothelial cells"	64399	"ENSG00000164161"
"KDR"	"Endothelial cells"	3791	"ENSG00000128052"
"MMRN1"	"Endothelial cells"	22915	"ENSG00000138722"
"MMRN2"	"Endothelial cells"	79812	"ENSG00000173269"
"MYCT1"	"Endothelial cells"	80177	"ENSG00000120279"
"PALMD"	"Endothelial cells"	54873	"ENSG00000099260"
"PEAR1"	"Endothelial cells"	375033	"ENSG00000187800"
"PGF"	"Endothelial cells"	5228	"ENSG00000119630"
"PLXNA2"	"Endothelial cells"	5362	"ENSG00000076356"
"PTPRB"	"Endothelial cells"	5787	"ENSG00000127329"
"ROBO4"	"Endothelial cells"	54538	"ENSG00000154133"
"C"	"Endothelial cells"	8436	"ENSG00000168497"
"SHANK3"	"Endothelial cells"	85358	"ENSG00000251322"
"SHE"	"Endothelial cells"	126669	"ENSG00000169291"
"TEK"	"Endothelial cells"	7010	"ENSG00000120156"
"TIE1"	"Endothelial cells"	7075	"ENSG00000066056"
"VEPH1"	"Endothelial cells"	79674	"ENSG00000197415"
"VWF"	"Endothelial cells"	7450	"ENSG00000110799"
"COL1A1"	"Fibroblasts"	1277	"ENSG00000108821"
"COL3A1"	"Fibroblasts"	1281	"ENSG00000168542"
"COL6A1"	"Fibroblasts"	1291	"ENSG00000142156"
"COL6A2"	"Fibroblasts"	1292	"ENSG00000142173"
"DCN"	"Fibroblasts"	1634	"ENSG00000011465"
"GREM1"	"Fibroblasts"	26585	"ENSG00000166923"
"PAMR1"	"Fibroblasts"	25891	"ENSG00000149090"
"TAGLN"	"Fibroblasts"	6876	"ENSG00000149591"
